Ticker,Entry_Date,Exit_Date,Stock_Return_Pct,Borrow_Fee_Pct,Capital_Invested,Lending_Income,Final_Value
BIO_88,2020-05-11,2020-08-03,82.0%,102.0%,5095775759.92,1196742793.45,10472949166.84
BIO_41,2020-07-11,2020-10-03,34.8%,56.4%,6841972400.27,888596692.56,10110008713.99
BIO_25,2020-07-31,2020-10-23,136.6%,88.5%,7144477205.43,1455273653.79,18357097322.64
BIO_61,2020-08-07,2020-10-30,312.7%,102.7%,7586326601.06,1792649727.08,33098912761.08
BIO_67,2020-09-01,2020-11-24,30.0%,41.3%,7709437317.54,733199352.17,10755467864.96
BIO_1,2020-10-02,2020-12-25,62.8%,96.7%,7889153153.48,1756250894.06,14597667957.76
BIO_26,2020-11-05,2021-01-28,62.9%,111.3%,11672783553.03,2989996651.5,22004444476.63
BIO_41,2020-12-15,2021-03-09,67.3%,85.3%,12146662731.5,2385841477.22,22707571126.27
BIO_44,2021-02-14,2021-05-09,47.3%,46.3%,13726839706.54,1463556459.04,21678230866.69
BIO_5,2021-02-16,2021-05-11,30.0%,87.2%,13736004939.72,2756625774.84,20613432196.48
BIO_54,2021-02-16,2021-05-11,88.1%,114.3%,13736004939.72,3612745421.84,29444924370.05
BIO_23,2021-02-24,2021-05-19,92.4%,83.5%,13833326550.51,2659800936.16,29278886942.12
BIO_53,2021-02-24,2021-05-19,85.1%,104.0%,13833326550.51,3311313531.78,28916783699.62
BIO_67,2021-03-23,2021-06-15,127.4%,114.5%,15131458333.39,3985873576.41,38390601487.81
BIO_31,2021-04-15,2021-07-08,40.4%,73.8%,15618563168.03,2651924472.7,24574170943.4
BIO_24,2021-04-26,2021-07-19,91.1%,108.3%,15886253932.2,3958680034.56,34323161613.83
BIO_66,2021-04-28,2021-07-21,124.1%,66.0%,15944350408.88,2422058973.33,38159066036.34
BIO_23,2021-05-27,2021-08-19,69.1%,115.7%,21387088312.8,5692604556.85,41855511894.45
BIO_54,2021-05-30,2021-08-22,32.9%,99.9%,21453913818.56,4934156888.3,33449814681.06
BIO_41,2021-06-02,2021-08-25,156.8%,68.2%,21538361313.21,3379821954.38,58693319456.1
BIO_77,2021-06-10,2021-09-02,102.9%,113.8%,21795743412.8,5707621511.74,49934566103.07
BIO_12,2021-09-20,2021-12-13,97.7%,40.4%,37778796500.58,3514518025.89,78212672496.48
BIO_8,2021-09-26,2021-12-19,115.6%,90.0%,37803900200.77,7830989122.65,89320551888.65
BIO_12,2021-10-06,2021-12-29,51.9%,52.6%,37938965762.06,4593975964.41,62220501884.99
BIO_49,2021-11-13,2022-02-05,85.8%,103.2%,38660037617.17,9178648688.73,81007100703.26
BIO_61,2021-11-26,2022-02-18,87.4%,47.6%,39048770609.34,4281586426.04,77476335240.36
BIO_15,2022-02-02,2022-04-27,66.5%,66.4%,50633691477.39,7739478242.41,92055316842.26
BIO_19,2022-02-16,2022-05-11,85.8%,70.5%,54183664883.11,8787456786.08,109442217296.71
BIO_31,2022-03-08,2022-05-31,119.8%,93.7%,58001955410.06,12507932902.98,139992036659.53
BIO_6,2022-04-08,2022-07-01,53.0%,50.8%,59073480298.01,6903343428.25,97269043786.07
BIO_34,2022-04-19,2022-07-12,537.8%,58.5%,59544099732.48,8021910610.68,387769261409.94
BIO_86,2022-05-31,2022-08-23,30.0%,76.7%,76183155183.55,13447062383.2,112485164121.81
BIO_15,2022-08-19,2022-11-11,46.9%,91.3%,113269236680.23,23792356491.37,190197585734.96
BIO_48,2022-08-20,2022-11-12,66.2%,40.6%,113313569321.75,10581639771.26,198865975061.74
BIO_40,2022-09-09,2022-12-02,36.2%,71.1%,116465517682.5,19064946705.8,177682227747.56
BIO_95,2022-09-10,2022-12-03,80.2%,55.9%,116529135471.75,15000296828.7,224939854925.68
BIO_64,2023-01-06,2023-03-31,86.8%,54.1%,148829583397.51,18539684482.53,296578943519.15
BIO_34,2023-03-04,2023-05-27,115.1%,99.6%,150087633415.96,34391312407.84,357240167086.25
BIO_50,2023-03-18,2023-06-10,135.4%,97.2%,150969816697.47,33762089637.55,389070376509.15
BIO_29,2023-04-12,2023-07-05,150.2%,45.1%,166206083010.68,17260937348.18,433094572776.36
BIO_99,2023-04-23,2023-07-16,55.1%,57.1%,167324604121.78,21993315922.7,281557970313.78
BIO_80,2023-05-11,2023-08-03,113.3%,101.4%,169626196735.7,39583474598.36,401407184452.64
BIO_18,2023-07-22,2023-10-14,90.8%,100.6%,249634883604.92,57781412091.31,533988116265.53
BIO_25,2023-08-05,2023-10-28,104.5%,106.8%,270383136660.18,66443944782.93,619500352217.28
BIO_21,2023-08-20,2023-11-12,95.9%,102.6%,272601446604.37,64397380830.28,598319434626.49
BIO_64,2023-08-28,2023-11-20,122.8%,89.7%,274397853630.12,56615309538.77,667846387991.79
BIO_23,2023-09-07,2023-11-30,73.0%,88.4%,277317354192.54,56443837374.98,536232318136.32
BIO_34,2023-09-11,2023-12-04,119.4%,63.7%,278753934595.49,40834933341.05,652515059025.24
BIO_90,2023-10-24,2024-01-16,73.8%,117.6%,318256841713.53,86106559802.87,639149120461.41
BIO_49,2023-11-14,2024-02-06,92.0%,75.4%,380429252672.18,66032150415.93,796433754618.96
BIO_93,2023-12-12,2024-03-05,150.2%,59.1%,475175373358.53,64632256449.61,1253393410579.52
BIO_6,2024-02-07,2024-05-01,73.8%,73.7%,546026857351.38,92555241583.74,1041417910567.11
BIO_98,2024-02-12,2024-05-06,85.5%,79.3%,546962497220.62,99775129923.15,1114283581450.97
